imonth,extended,crit1,crit2,crit3,doubtterr,longitude,latitude,attacktype1,success,suicide,weaptype1,weapsubtype1,targtype1,targsubtype1,gname,nperps,nperpcap,claimed,nkill,nkillter,nwound,nwoundte,property,ishostkid,hostkidoutcome,city,weaptype1_txt,targtype1_txt,attacktype1_txt
5,0,1,1,1,0,74.789902,34.08374,3,1,0,6,11,2,21,Unknown,2,0,0,0,0,6,0,1,0,-1,Srinagar,Explosives,Government (General),Bombing/Explosion
5,0,1,1,1,0,74.789902,34.08374,3,1,0,6,7,2,18,Unknown,-1,0,0,1,0,3,0,0,0,-1,Srinagar,Explosives,Government (General),Bombing/Explosion
5,0,1,1,1,0,74.789902,34.08374,3,1,0,6,-1,18,97,Unknown,-1,0,0,2,-1,12,0,1,0,-1,Srinagar,Explosives,Tourists,Bombing/Explosion
5,0,1,1,1,0,74.789902,34.08374,3,1,0,6,7,3,25,Unknown,-1,0,0,0,0,8,0,-1,0,-1,Srinagar,Explosives,Police,Bombing/Explosion
5,0,1,1,1,1,74.831062,33.721287,3,1,0,6,7,4,29,Unknown,-1,0,0,0,0,4,0,0,0,-1,Shopian,Explosives,Military,Bombing/Explosion
6,0,1,1,1,0,74.589592,34.092796,1,0,0,6,7,2,15,Unknown,-1,-1,0,11,0,6,0,-1,0,-1,Magam,Explosives,Government (General),Assassination
6,0,1,1,1,0,74.789902,34.08374,2,1,0,5,-1,3,25,Jaish-e-Mohammad (JeM),-1,-1,1,2,0,0,0,0,0,-1,Srinagar,Firearms,Police,Armed Assault
6,0,1,1,1,0,74.789902,34.08374,2,1,0,5,-1,3,25,Jaish-e-Mohammad (JeM),-1,-1,1,1,0,1,0,0,0,-1,Srinagar,Firearms,Police,Armed Assault
6,0,1,1,1,0,74.789902,34.08374,2,1,0,5,-1,14,67,Unknown,-1,-1,0,3,0,0,0,0,0,-1,Srinagar,Firearms,Private Citizens & Property,Armed Assault
6,0,1,1,1,0,74.789902,34.08374,3,1,0,6,7,3,22,Unknown,-1,-1,0,0,0,0,0,0,0,-1,Srinagar,Explosives,Police,Bombing/Explosion
6,0,1,1,1,0,74.504122,34.084253,1,1,0,5,2,2,15,Unknown,-1,8,0,2,0,0,0,0,0,-1,Kunzer,Firearms,Government (General),Assassination
6,0,1,1,1,0,74.789902,34.08374,3,0,0,6,7,2,18,Unknown,-1,0,0,0,0,4,0,1,0,-1,Srinagar,Explosives,Government (General),Bombing/Explosion
7,0,1,1,1,0,78,34,2,1,0,5,-1,15,85,Unknown,-1,0,0,3,0,0,0,0,0,-1,Ladakh,Firearms,Religious Figures/Institutions,Armed Assault
7,0,1,1,1,0,74.463715,34.288891,1,1,0,5,-1,2,15,Gunmen,2,0,0,1,0,0,0,0,0,-1,Sopore,Firearms,Government (General),Assassination
7,0,1,1,1,0,74.385853,34.047272,3,1,0,6,7,18,97,Unknown,-1,-1,0,1,0,5,0,1,0,-1,Gulmarg,Explosives,Tourists,Bombing/Explosion
8,0,1,1,1,0,74.789902,34.08374,3,1,0,6,7,14,79,Hizbul Mujahideen (HM),-1,0,1,0,0,4,0,-1,0,-1,Srinagar,Explosives,Private Citizens & Property,Bombing/Explosion
8,0,1,1,1,0,75.31498,34.016075,2,1,0,5,2,14,69,Unknown,-1,0,0,35,2,94,-1,1,0,-1,Pahalgam,Firearms,Private Citizens & Property,Armed Assault
8,0,1,1,1,0,74.789902,34.08374,3,1,0,6,15,4,29,Hizbul Mujahideen (HM),-1,0,1,10,0,18,0,1,0,-1,Srinagar,Explosives,Military,Bombing/Explosion
8,0,1,1,0,1,75.29384,33.079037,3,1,0,6,8,4,39,Hizbul Mujahideen (HM),-1,0,1,4,0,32,0,1,0,-1,Kud,Explosives,Military,Bombing/Explosion
8,0,1,1,0,1,74.857026,32.726602,3,1,0,6,8,4,39,Hizbul Mujahideen (HM),-1,0,1,1,0,6,0,1,0,-1,Jammu,Explosives,Military,Bombing/Explosion
8,0,1,1,1,0,74.789902,34.08374,3,1,0,6,-1,14,74,Hizbul Mujahideen (HM),-1,0,1,0,0,0,0,1,0,-1,Srinagar,Explosives,Private Citizens & Property,Bombing/Explosion
8,0,1,1,1,0,74.789902,34.08374,3,1,0,6,-1,14,67,Hizbul Mujahideen (HM),-1,0,1,0,0,0,0,-1,0,-1,Srinagar,Explosives,Private Citizens & Property,Bombing/Explosion
8,0,1,1,1,0,75.103386,33.789497,3,1,0,6,7,3,25,Militants,-1,0,0,0,0,11,0,1,0,-1,Bijbehara,Explosives,Police,Bombing/Explosion
8,0,1,1,1,0,74.3775,33.393333,2,1,0,5,2,14,69,Muslim Militants,8,0,0,6,0,6,0,0,0,-1,Kot Dhara,Firearms,Private Citizens & Property,Armed Assault
8,0,1,1,1,0,75.031667,33.2175,2,1,0,5,2,14,69,Muslim Militants,5,0,0,4,0,1,0,0,0,-1,Ind,Firearms,Private Citizens & Property,Armed Assault
9,0,1,1,1,0,74.449611,34.24437,1,1,0,6,8,15,87,Unknown,-1,0,0,3,0,1,0,1,0,-1,Sangrama,Explosives,Religious Figures/Institutions,Assassination
9,0,1,1,1,1,77.577053,34.152586,2,1,0,5,-1,4,34,Hizbul Mujahideen (HM),-1,0,0,5,3,2,-1,-1,0,-1,Leh district,Firearms,Military,Armed Assault
9,0,1,1,1,1,75.148701,33.731125,2,1,0,5,-1,3,23,Unknown,-1,0,0,1,0,3,-1,-1,0,-1,Anantang district,Firearms,Police,Armed Assault
9,0,1,1,1,1,74.254614,34.526179,2,1,0,5,-1,2,15,Unknown,-1,0,0,2,0,0,0,-1,0,-1,Kupwara District,Firearms,Government (General),Armed Assault
9,0,1,1,1,1,74.722282,34.021244,2,1,0,5,-1,4,27,Lashkar-e-Taiba (LeT),2,0,1,13,2,5,0,-1,0,-1,Budgam District,Firearms,Military,Armed Assault
9,1,1,1,1,0,74.789902,34.08374,6,1,0,5,-1,2,15,Unknown,-1,0,0,-1,0,-1,0,0,1,-1,Srinagar,Firearms,Government (General),Hostage Taking (Kidnapping)
9,0,1,1,1,0,74.63827,34.419539,2,1,0,5,2,3,22,Unknown,-1,0,0,1,-1,1,-1,-1,0,-1,Bandipora,Firearms,Police,Armed Assault
9,0,1,1,0,1,74.263416,33.63987,3,1,0,6,-1,4,29,Unknown,-1,0,0,1,0,1,0,-1,0,-1,Surankot district,Explosives,Military,Bombing/Explosion
9,0,1,1,1,0,74.369286,33.538588,2,1,0,6,11,3,22,Unknown,-1,0,0,0,0,0,0,-1,0,-1,Thanamandi,Explosives,Police,Armed Assault
9,0,1,1,1,1,74.789902,34.08374,3,1,0,6,7,3,23,Unknown,-1,-1,0,2,0,3,-1,-1,0,-1,Srinagar,Explosives,Police,Bombing/Explosion
9,0,1,1,1,0,76.576171,33.778175,3,1,0,6,14,14,67,Unknown,-1,-1,-1,5,-1,2,-1,1,0,-1,Pattapani,Explosives,Private Citizens & Property,Bombing/Explosion
9,0,1,1,1,0,74.315313,33.371715,3,1,0,6,11,4,27,Unknown,-1,-1,-1,0,-1,0,-1,-1,0,-1,Rajouri,Explosives,Military,Bombing/Explosion
